game_id,player_id,first_name,last_name,jersey_num,team_id,team_city,team_name,team_abbreviation
29600034,184,Bobby,Phills,14,1610612739,Cleveland,Cavaliers,CLE
29600034,781,Will,Perdue,41,1610612759,San Antonio,Spurs,SAS
29600132,120,Steven,Smith,8,1610612737,Atlanta,Hawks,ATL
29600203,698,Eddie,Johnson,8,1610612754,Indiana,Pacers,IND
29600213,32,Clifford,Rozier,44,1610612753,Orlando,Magic,ORL
29600227,440,Zan,Tabak,3,1610612761,Toronto,Raptors,TOR
29600267,914,Stanley,Roberts,53,1610612746,Los Angeles,Clippers,LAC
29600278,291,Ed,Pinckney,54,1610612748,Miami,Heat,MIA
29600335,420,Jayson,Williams,55,1610612751,New Jersey,Nets,NJN
29600335,762,Shawn,Bradley,45,1610612751,New Jersey,Nets,NJN
29600352,93,Hubert,Davis,44,1610612761,Toronto,Raptors,TOR
29600387,85,Brent,Price,20,1610612745,Houston,Rockets,HOU
29600467,1108,Tony,Farmer,4,1610612748,Miami,Heat,MIA
29600471,238,Tyrone,Hill,32,1610612739,Cleveland,Cavaliers,CLE
29600505,770,Mark,West,41,1610612739,Cleveland,Cavaliers,CLE
29600556,199,Reggie,Williams,7,1610612751,New Jersey,Nets,NJN
29600566,697,Fred,Hoiberg,20,1610612754,Indiana,Pacers,IND
29600593,168,Chris,Mills,24,1610612739,Cleveland,Cavaliers,CLE
29600593,177,Muggsy,Bogues,1,1610612766,Charlotte,Hornets,CHH
29600621,121,Patrick,Ewing,33,1610612752,New York,Knicks,NYK
29600642,934,Derrick,Coleman,44,1610612755,Philadelphia,76ers,PHI
29600735,984,Steve,Hamer,52,1610612738,Boston,Celtics,BOS
29600782,997,Chris,Robinson,5,1610612763,Vancouver,Grizzlies,VAN
29600821,770,Mark,West,52,1610612739,Cleveland,Cavaliers,CLE
29600821,65,Greg,Minor,48,1610612738,Boston,Celtics,BOS
29600821,244,Dee,Brown,48,1610612738,Boston,Celtics,BOS
29600873,770,Mark,West,41,1610612739,Cleveland,Cavaliers,CLE
29600953,971,Mark,Hendrickson,14,1610612755,Philadelphia,76ers,PHI
29600961,168,Chris,Mills,50,1610612739,Cleveland,Cavaliers,CLE
29600961,210,Terrell,Brandon,48,1610612739,Cleveland,Cavaliers,CLE
29601032,234,Khalid,Reeves,6,1610612742,Dallas,Mavericks,DAL
29601032,955,Samaki,Walker,52,1610612742,Dallas,Mavericks,DAL
29601073,1381,John,Long,50,1610612761,Toronto,Raptors,TOR
29601087,238,Tyrone,Hill,32,1610612739,Cleveland,Cavaliers,CLE
29601087,380,Tony,Smith,34,1610612766,Charlotte,Hornets,CHH
29601087,209,Dell,Curry,30,1610612766,Charlotte,Hornets,CHH
29601139,291,Ed,Pinckney,54,1610612748,Miami,Heat,MIA
29601156,216,Brian,Shaw,50,1610612753,Orlando,Magic,ORL
29601156,938,Rony,Seikaly,32,1610612753,Orlando,Magic,ORL
29700002,1496,Keith,Van Horn,52,1610612751,New Jersey,Nets,NJN
29700068,682,Bob,Sura,3,1610612739,Cleveland,Cavaliers,CLE
